"","gene","colors"
"436","Pastreoides05042","black"
"437","Pastreoides05053","grey"
"438","Pastreoides05060","turquoise"
"439","Pastreoides05063","lightyellow"
"440","Pastreoides05078","grey"
"441","Pastreoides05080","pink"
"442","Pastreoides05081","lightcyan"
"443","Pastreoides05097","black"
"444","Pastreoides05100","yellow"
"445","Pastreoides05105","grey"
"446","Pastreoides05106","blue"
"447","Pastreoides05167","blue"
"448","Pastreoides05171","greenyellow"
"449","Pastreoides05184","brown"
"450","Pastreoides05186","grey"
"451","Pastreoides05199","grey60"
"452","Pastreoides05205","turquoise"
"453","Pastreoides05216","green"
"454","Pastreoides05227","magenta"
"455","Pastreoides05233","pink"
"456","Pastreoides05324","green"
"457","Pastreoides05325","blue"
"458","Pastreoides05332","turquoise"
"459","Pastreoides05348","grey"
"460","Pastreoides05354","brown"
"461","Pastreoides05355","green"
"462","Pastreoides05356","blue"
"463","Pastreoides05357","blue"
"464","Pastreoides05372","lightcyan"
"465","Pastreoides05388","tan"
"466","Pastreoides05389","tan"
"467","Pastreoides05395","yellow"
"468","Pastreoides05479","brown"
"469","Pastreoides05491","pink"
"470","Pastreoides05493","lightgreen"
"471","Pastreoides05500","grey"
"472","Pastreoides05502","purple"
"473","Pastreoides05503","green"
"474","Pastreoides05506","turquoise"
"475","Pastreoides05507","brown"
"476","Pastreoides05516","grey"
"477","Pastreoides05525","brown"
"478","Pastreoides05528","salmon"
"479","Pastreoides05529","grey"
"480","Pastreoides05530","grey"
"481","Pastreoides05531","red"
"482","Pastreoides05533","turquoise"
"483","Pastreoides05537","grey"
"484","Pastreoides05540","yellow"
"485","Pastreoides05578","turquoise"
"486","Pastreoides05579","turquoise"
"487","Pastreoides05582","turquoise"
"488","Pastreoides05586","grey"
"489","Pastreoides05592","grey"
"490","Pastreoides05597","purple"
"491","Pastreoides05603","pink"
"492","Pastreoides05633","grey"
"493","Pastreoides05639","grey60"
"494","Pastreoides05646","green"
"495","Pastreoides05659","magenta"
"496","Pastreoides05661","turquoise"
"497","Pastreoides05668","blue"
"498","Pastreoides05684","yellow"
"499","Pastreoides05685","cyan"
"500","Pastreoides05695","red"
"501","Pastreoides05696","green"
"502","Pastreoides05704","magenta"
"503","Pastreoides05709","grey"
"504","Pastreoides05711","blue"
"505","Pastreoides05714","tan"
"506","Pastreoides05715","yellow"
"507","Pastreoides05810","turquoise"
"508","Pastreoides05813","grey"
"509","Pastreoides05814","lightgreen"
"510","Pastreoides05816","blue"
"511","Pastreoides05818","magenta"
"512","Pastreoides05819","salmon"
"513","Pastreoides05820","pink"
"514","Pastreoides05827","lightgreen"
"515","Pastreoides05830","yellow"
"516","Pastreoides05833","green"
"517","Pastreoides05842","yellow"
"518","Pastreoides05844","yellow"
"519","Pastreoides05849","blue"
"520","Pastreoides05862","greenyellow"
"521","Pastreoides05864","grey"
"522","Pastreoides05865","turquoise"
"523","Pastreoides05873","green"
"524","Pastreoides05876","grey"
"525","Pastreoides05883","blue"
"526","Pastreoides05884","magenta"
"527","Pastreoides05885","magenta"
"528","Pastreoides05894","magenta"
"529","Pastreoides05904","magenta"
"530","Pastreoides05923","blue"
"531","Pastreoides05925","pink"
"532","Pastreoides05928","brown"
"533","Pastreoides05935","lightcyan"
"534","Pastreoides05959","grey"
"535","Pastreoides05979","grey"
"536","Pastreoides05983","turquoise"
"537","Pastreoides06008","blue"
"538","Pastreoides06009","yellow"
"539","Pastreoides06018","grey"
"540","Pastreoides06022","yellow"
"541","Pastreoides06023","grey"
"542","Pastreoides06042","yellow"
"543","Pastreoides06049","blue"
"544","Pastreoides06050","blue"
"545","Pastreoides06051","red"
"546","Pastreoides06053","pink"
"547","Pastreoides06085","turquoise"
"548","Pastreoides06094","yellow"
"549","Pastreoides06100","magenta"
"550","Pastreoides06122","pink"
"551","Pastreoides06146","turquoise"
"552","Pastreoides06164","blue"
"553","Pastreoides06196","grey"
"554","Pastreoides06199","yellow"
"555","Pastreoides06258","green"
"556","Pastreoides06279","magenta"
"557","Pastreoides06318","turquoise"
"558","Pastreoides06323","turquoise"
"559","Pastreoides06328","greenyellow"
"560","Pastreoides06329","blue"
"561","Pastreoides06334","lightgreen"
"562","Pastreoides06381","brown"
"563","Pastreoides06411","grey"
"564","Pastreoides06412","grey"
"565","Pastreoides06427","midnightblue"
"566","Pastreoides06438","greenyellow"
"567","Pastreoides06441","turquoise"
"568","Pastreoides06442","red"
"569","Pastreoides06457","grey"
"570","Pastreoides06466","turquoise"
"571","Pastreoides06499","brown"
"572","Pastreoides06505","yellow"
"573","Pastreoides06525","cyan"
"574","Pastreoides06527","lightyellow"
"575","Pastreoides06528","lightyellow"
"576","Pastreoides06529","lightgreen"
"577","Pastreoides06536","lightgreen"
"578","Pastreoides06538","green"
"579","Pastreoides06562","midnightblue"
"580","Pastreoides06587","green"
"581","Pastreoides06588","grey"
"582","Pastreoides06589","grey60"
"583","Pastreoides06603","grey"
"584","Pastreoides06628","black"
"585","Pastreoides06633","yellow"
"586","Pastreoides06635","blue"
"587","Pastreoides06639","turquoise"
"588","Pastreoides06650","turquoise"
"589","Pastreoides06688","salmon"
"590","Pastreoides06690","brown"
"591","Pastreoides06703","midnightblue"
"592","Pastreoides06706","yellow"
"593","Pastreoides06714","purple"
"594","Pastreoides06722","red"
"595","Pastreoides06728","grey"
"596","Pastreoides06729","salmon"
"597","Pastreoides06732","midnightblue"
"598","Pastreoides06735","pink"
"599","Pastreoides06738","blue"
"600","Pastreoides06739","green"
"601","Pastreoides06808","yellow"
"602","Pastreoides06813","yellow"
"603","Pastreoides06861","turquoise"
"604","Pastreoides06865","purple"
"605","Pastreoides06903","grey"
"606","Pastreoides06907","midnightblue"
"607","Pastreoides06911","blue"
"608","Pastreoides06921","lightgreen"
"609","Pastreoides06991","grey"
"610","Pastreoides06994","turquoise"
"611","Pastreoides06995","cyan"
"612","Pastreoides07010","blue"
"613","Pastreoides07012","grey"
"614","Pastreoides07074","black"
"615","Pastreoides07077","magenta"
"616","Pastreoides07079","red"
"617","Pastreoides07081","green"
"618","Pastreoides07090","black"
"619","Pastreoides07110","green"
"620","Pastreoides07118","cyan"
"621","Pastreoides07119","green"
"622","Pastreoides07128","turquoise"
"623","Pastreoides07138","purple"
"624","Pastreoides07145","grey"
"625","Pastreoides07154","brown"
"626","Pastreoides07166","red"
"627","Pastreoides07171","yellow"
"628","Pastreoides07208","red"
"629","Pastreoides07213","grey"
"630","Pastreoides07214","blue"
"631","Pastreoides07247","turquoise"
"632","Pastreoides07255","blue"
"633","Pastreoides07266","black"
"634","Pastreoides07330","lightcyan"
"635","Pastreoides07358","yellow"
"636","Pastreoides07365","grey"
"637","Pastreoides07414","blue"
"638","Pastreoides07419","turquoise"
"639","Pastreoides07425","yellow"
"640","Pastreoides07520","grey60"
"641","Pastreoides07540","brown"
"642","Pastreoides07574","grey"
"643","Pastreoides07575","grey"
"644","Pastreoides07583","blue"
"645","Pastreoides07589","brown"
"646","Pastreoides07596","grey"
"647","Pastreoides07597","grey"
"648","Pastreoides07627","brown"
"649","Pastreoides07632","tan"
"650","Pastreoides07667","grey"
"651","Pastreoides07677","blue"
"652","Pastreoides07683","blue"
"653","Pastreoides07737","blue"
"654","Pastreoides07738","blue"
"655","Pastreoides07740","turquoise"
"656","Pastreoides07750","pink"
"657","Pastreoides07756","grey"
"658","Pastreoides07773","grey"
"659","Pastreoides07789","grey"
"660","Pastreoides07806","midnightblue"
"661","Pastreoides07814","black"
"662","Pastreoides07843","pink"
"663","Pastreoides07870","blue"
"664","Pastreoides07875","yellow"
"665","Pastreoides07877","turquoise"
"666","Pastreoides07882","green"
"667","Pastreoides07884","brown"
"668","Pastreoides07885","purple"
"669","Pastreoides07898","yellow"
"670","Pastreoides07917","pink"
"671","Pastreoides07925","green"
"672","Pastreoides07926","black"
"673","Pastreoides07947","black"
"674","Pastreoides07959","black"
"675","Pastreoides08002","blue"
"676","Pastreoides08011","green"
"677","Pastreoides08022","pink"
"678","Pastreoides08038","brown"
"679","Pastreoides08085","magenta"
"680","Pastreoides08094","grey"
"681","Pastreoides08095","blue"
"682","Pastreoides08108","magenta"
"683","Pastreoides08115","brown"
"684","Pastreoides08132","grey"
"685","Pastreoides08165","red"
"686","Pastreoides08182","grey"
"687","Pastreoides08202","red"
"688","Pastreoides08209","grey"
"689","Pastreoides08215","grey"
"690","Pastreoides08238","brown"
"691","Pastreoides08247","turquoise"
"692","Pastreoides08268","grey"
"693","Pastreoides08272","grey"
"694","Pastreoides08274","blue"
"695","Pastreoides08291","turquoise"
"696","Pastreoides08292","yellow"
"697","Pastreoides08294","purple"
"698","Pastreoides08304","turquoise"
"699","Pastreoides08314","purple"
"700","Pastreoides08325","green"
"701","Pastreoides08336","purple"
"702","Pastreoides08353","brown"
"703","Pastreoides08361","yellow"
"704","Pastreoides08380","cyan"
"705","Pastreoides08387","green"
"706","Pastreoides08429","magenta"
"707","Pastreoides08431","blue"
"708","Pastreoides08455","pink"
"709","Pastreoides08491","black"
"710","Pastreoides08493","brown"
"711","Pastreoides08544","pink"
"712","Pastreoides08545","grey60"
"713","Pastreoides08546","blue"
"714","Pastreoides08555","grey"
"715","Pastreoides08602","blue"
"716","Pastreoides08636","turquoise"
"717","Pastreoides08646","midnightblue"
"718","Pastreoides08666","brown"
"719","Pastreoides08684","purple"
"720","Pastreoides08719","magenta"
"721","Pastreoides08738","yellow"
"722","Pastreoides08788","grey"
"723","Pastreoides08822","grey"
"724","Pastreoides08823","magenta"
"725","Pastreoides08825","blue"
"726","Pastreoides08828","magenta"
"727","Pastreoides08829","grey"
"728","Pastreoides08831","turquoise"
"729","Pastreoides08834","blue"
"730","Pastreoides08857","yellow"
"731","Pastreoides08865","purple"
"732","Pastreoides08866","turquoise"
"733","Pastreoides08871","blue"
"734","Pastreoides08872","purple"
"735","Pastreoides08874","red"
"736","Pastreoides08915","pink"
"737","Pastreoides08927","greenyellow"
"738","Pastreoides08928","yellow"
"739","Pastreoides08957","turquoise"
"740","Pastreoides08965","grey"
"741","Pastreoides08996","yellow"
"742","Pastreoides09015","grey60"
"743","Pastreoides09037","yellow"
"744","Pastreoides09053","brown"
"745","Pastreoides09102","red"
"746","Pastreoides09150","grey"
"747","Pastreoides09180","blue"
"748","Pastreoides09198","yellow"
"749","Pastreoides09199","magenta"
"750","Pastreoides09200","turquoise"
"751","Pastreoides09225","black"
"752","Pastreoides09236","red"
"753","Pastreoides09243","turquoise"
"754","Pastreoides09255","green"
"755","Pastreoides09263","red"
"756","Pastreoides09292","cyan"
"757","Pastreoides09294","purple"
"758","Pastreoides09295","green"
"759","Pastreoides09297","lightgreen"
"760","Pastreoides09298","magenta"
"761","Pastreoides09322","midnightblue"
"762","Pastreoides09341","turquoise"
"763","Pastreoides09348","salmon"
"764","Pastreoides09353","brown"
"765","Pastreoides09366","red"
"766","Pastreoides09370","midnightblue"
"767","Pastreoides09373","midnightblue"
"768","Pastreoides09377","grey"
"769","Pastreoides09394","purple"
"770","Pastreoides09405","black"
"771","Pastreoides09409","yellow"
"772","Pastreoides09423","blue"
"773","Pastreoides09424","grey"
"774","Pastreoides09430","yellow"
"775","Pastreoides09434","black"
"776","Pastreoides09437","black"
"777","Pastreoides09466","grey"
"778","Pastreoides09491","magenta"
"779","Pastreoides09502","purple"
"780","Pastreoides09519","grey"
"781","Pastreoides09526","greenyellow"
"782","Pastreoides09527","greenyellow"
"783","Pastreoides09528","black"
"784","Pastreoides09540","turquoise"
"785","Pastreoides09547","grey"
"786","Pastreoides09555","grey"
"787","Pastreoides09557","purple"
"788","Pastreoides09570","greenyellow"
"789","Pastreoides09571","grey"
"790","Pastreoides09574","turquoise"
"791","Pastreoides09583","turquoise"
"792","Pastreoides09592","green"
"793","Pastreoides09618","yellow"
"794","Pastreoides09649","green"
"795","Pastreoides09651","brown"
"796","Pastreoides09653","brown"
"797","Pastreoides09659","cyan"
"798","Pastreoides09704","purple"
"799","Pastreoides09758","magenta"
"800","Pastreoides09779","salmon"
"801","Pastreoides09784","tan"
"802","Pastreoides09788","black"
"803","Pastreoides09789","tan"
"804","Pastreoides09798","yellow"
"805","Pastreoides09803","grey"
"806","Pastreoides09860","turquoise"
"807","Pastreoides09865","yellow"
"808","Pastreoides09868","yellow"
"809","Pastreoides09872","pink"
"810","Pastreoides09897","blue"
"811","Pastreoides09911","brown"
"812","Pastreoides09930","turquoise"
"813","Pastreoides09934","grey"
"814","Pastreoides09961","grey"
"815","Pastreoides09963","greenyellow"
"816","Pastreoides09968","greenyellow"
"817","Pastreoides09969","yellow"
"818","Pastreoides09985","magenta"
"819","Pastreoides09994","brown"
"820","Pastreoides10000","brown"
"821","Pastreoides10043","lightcyan"
"822","Pastreoides10090","red"
"823","Pastreoides10094","grey"
"824","Pastreoides10095","pink"
"825","Pastreoides10099","turquoise"
"826","Pastreoides10107","salmon"
"827","Pastreoides10131","red"
"828","Pastreoides10145","grey"
"829","Pastreoides10148","magenta"
"830","Pastreoides10152","yellow"
