Mooring Name,Latitude,Longitude,Date,Time,SST_C,Salinity
HOG_REEF_64W_32N,32.457,-64.835,11/7/2017,18:17,25.151,36.541
HOG_REEF_64W_32N,32.457,-64.835,11/7/2017,21:17,24.991,36.547
HOG_REEF_64W_32N,32.457,-64.835,11/8/2017,0:17,24.939,36.549
HOG_REEF_64W_32N,32.457,-64.835,11/8/2017,3:17,24.887,36.552
HOG_REEF_64W_32N,32.457,-64.835,11/8/2017,6:17,24.826,36.556
HOG_REEF_64W_32N,32.457,-64.835,11/8/2017,9:17,24.591,36.556
HOG_REEF_64W_32N,32.457,-64.835,11/8/2017,12:17,24.65,36.559
HOG_REEF_64W_32N,32.457,-64.835,11/8/2017,15:17,24.916,36.553
HOG_REEF_64W_32N,32.457,-64.835,11/8/2017,18:17,24.946,36.558
HOG_REEF_64W_32N,32.457,-64.835,11/8/2017,21:17,24.733,36.564
HOG_REEF_64W_32N,32.457,-64.835,11/9/2017,0:17,24.572,36.559
HOG_REEF_64W_32N,32.457,-64.835,11/9/2017,3:17,24.511,36.553
HOG_REEF_64W_32N,32.457,-64.835,11/9/2017,6:17,24.487,36.559
HOG_REEF_64W_32N,32.457,-64.835,11/9/2017,9:17,24.459,36.546
HOG_REEF_64W_32N,32.457,-64.835,11/9/2017,12:17,24.421,36.551
HOG_REEF_64W_32N,32.457,-64.835,11/9/2017,15:17,24.499,36.551
HOG_REEF_64W_32N,32.457,-64.835,11/9/2017,18:17,24.533,36.551
HOG_REEF_64W_32N,32.457,-64.835,11/9/2017,21:17,24.526,36.55
HOG_REEF_64W_32N,32.457,-64.835,11/10/2017,0:17,24.482,36.55
HOG_REEF_64W_32N,32.457,-64.835,11/10/2017,3:17,24.435,36.55
HOG_REEF_64W_32N,32.457,-64.835,11/10/2017,6:17,24.39,36.556
HOG_REEF_64W_32N,32.457,-64.835,11/10/2017,9:17,24.267,36.554
HOG_REEF_64W_32N,32.457,-64.835,11/10/2017,12:17,24.358,36.537
HOG_REEF_64W_32N,32.457,-64.835,11/10/2017,15:17,24.431,36.534
HOG_REEF_64W_32N,32.457,-64.835,11/10/2017,18:17,24.493,36.536
HOG_REEF_64W_32N,32.457,-64.835,11/10/2017,21:17,24.473,36.539
HOG_REEF_64W_32N,32.457,-64.835,11/11/2017,0:17,24.421,36.538
HOG_REEF_64W_32N,32.457,-64.835,11/11/2017,3:17,24.447,36.536
HOG_REEF_64W_32N,32.457,-64.835,11/11/2017,6:17,24.429,36.535
HOG_REEF_64W_32N,32.457,-64.835,11/11/2017,9:17,24.354,36.539
HOG_REEF_64W_32N,32.457,-64.835,11/11/2017,12:17,24.354,36.539
HOG_REEF_64W_32N,32.457,-64.835,11/11/2017,15:17,24.432,36.544
HOG_REEF_64W_32N,32.457,-64.835,11/11/2017,18:17,24.377,36.53
