Sample Name_file,Trimming,Sample,Coral.ID,History,Life_Stage,Gel_Result,Extraction_Date,PMS_Date,percent_mCpG,percent_mCHG,percent_mCHH,M_Cs,percent_Dups,percent_Aligned,Ins_size,Median_cov,Mean_cov,R1_percent_BP_Trimmed,R1_percent_Dups,R1_percent_GC,R1_M_Seqs,R2_percent_BP_Trimmed,R2_percent_Dups,R2_percent_GC,R2_M_Seqs
18-79_S181_L004_R1_001_val_1,Original,18-79,R-14-A,Rim-Heated-Patch,Adult,High Molecular Weight,20200819,20210428,7.60%,0.80%,1.10%,610.6,13.20%,38.40%,108,4.0X,8.0X,19.20%,17.20%,29%,80.8,19.00%,16.80%,29%,80.8
18-9_S159_L004_R1_001_val_1,Original,18-9_,P-4-B,Patch-Ambient-Rim,Adult,High Molecular Weight,20200813,20210415,9.40%,2.20%,2.40%,141.5,11.90%,26.10%,103,0.0X,1.9X,46.90%,15.70%,42%,47.7,42.70%,16.80%,41%,47.7
18-91_S160_L004_R1_001_val_1,Original,18-91,R-14-B,Rim-Heated-Rim,Adult,High Molecular Weight,20200813,20210415,8.30%,1.80%,2.00%,165.2,10.70%,27.50%,122,0.0X,2.0X,35.30%,11.10%,37%,35.3,32.10%,11.20%,37%,35.3
L-1038_S184_L004_R1_001_val_1,Original,L-1038,R-8-A,Rim-Ambient-Patch,Larvae,High Molecular Weight,20200813,20210428,7.90%,0.80%,1.10%,401.2,11.00%,40.20%,101,2.0X,5.2X,21.10%,14.70%,29%,51.4,20.80%,14.40%,29%,51.4
L-1053_S167_L004_R1_001_val_1,Original,L-1053,P-12-A,Patch-Heated-Patch,Larvae,High Molecular Weight,20200812,20210422,8.80%,0.90%,1.00%,535.5,15.50%,41.50%,119,4.0X,6.4X,15.80%,19.30%,27%,60.1,15.70%,19.20%,27%,60.1
L-1059_S175_L004_R1_001_val_1,Original,L-1059,R-15-A,Rim-Heated-Patch,Larvae,High Molecular Weight,20200813,20210426,7.30%,0.70%,1.00%,683.9,15.50%,43.20%,101,4.0X,8.9X,23.80%,23.60%,31%,88.7,23.60%,23.10%,31%,88.7
L-1093_S168_L004_R1_001_val_1,Original,L-1093,R-19-A,Rim-Heated-Patch,Larvae,High Molecular Weight,20200819,20210422,8.50%,0.90%,1.00%,596.1,15.20%,40.10%,127,4.0X,7.1X,13.30%,19.40%,26%,66.1,13.20%,19.00%,26%,66.1
L-1257_S205_L004_R1_001_val_1,Original,L-1257,P-19-A,Patch-Heated-Patch,Larvae,High Molecular Weight,20200812,20210511,8.30%,0.60%,0.80%,717.9,23.50%,40.60%,136,6.0X,8.2X,12.30%,28.50%,26%,82.9,12.30%,27.60%,26%,82.9
L-1263_S173_L004_R1_001_val_1,Original,L-1263,R-7-A,Rim-Ambient-Patch,Larvae,High Molecular Weight,20200814,20210426,7.70%,1.00%,1.30%,709.5,11.20%,41.90%,111,5.0X,8.7X,21.90%,20.50%,31%,83.5,21.60%,19.80%,31%,83.5
L-571_S194_L004_R1_001_val_1,Original,L-571,R-11-A,Rim-Heated-Patch,Larvae,High Molecular Weight,20200820,20210506,7.30%,0.60%,0.90%,596.7,16.10%,39.20%,111,4.0X,7.4X,18.10%,21.70%,29%,76.6,18.00%,21.80%,29%,76.6
L-704_S169_L004_R1_001_val_1,Original,L-704,P-15-A,Patch-Heated-Patch,Larvae,High Molecular Weight,20200820,20210422,8.70%,0.90%,1.00%,559.1,15.20%,39.20%,122,4.0X,6.7X,14.20%,19.90%,26%,64.9,14.10%,19.50%,27%,64.9
L-728_S161_L004_R1_001_val_1,Original,L-728,P-6-A,Patch-Ambient-Patch,Larvae,High Molecular Weight,20200819,20210415,9.10%,1.90%,2.00%,248.6,12.20%,40.00%,93,2.0X,3.4X,42.10%,13.40%,38%,47,37.20%,13.90%,38%,47
