"","GO_ID","gene","colors","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"835","GO:0005813","Pastreoides00802","brown",NA,NA,NA,NA,NA,NA,NA,NA
"836","GO:0005813","Pastreoides03970","brown",NA,NA,NA,NA,NA,NA,NA,NA
"837","GO:0005813","Pastreoides15206","brown",NA,NA,NA,NA,NA,NA,NA,NA
"838","GO:0005813","Pastreoides21061","brown",NA,NA,NA,NA,NA,NA,NA,NA
"839","GO:0005813","Pastreoides24119","brown",NA,NA,NA,NA,NA,NA,NA,NA
"840","GO:0005813","Pastreoides24898","brown",NA,NA,NA,NA,NA,NA,NA,NA
"841","GO:0005813","Pastreoides39669","brown",NA,NA,NA,NA,NA,NA,NA,NA
"842","GO:0005815","Pastreoides29486","brown",NA,NA,NA,NA,NA,NA,NA,NA
"843","GO:0005819","Pastreoides22503","brown",NA,NA,NA,NA,NA,NA,NA,NA
"844","GO:0005819","Pastreoides43806","brown",NA,NA,NA,NA,NA,NA,NA,NA
"845","GO:0005829","Pastreoides53023","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"846","GO:0005829","Pastreoides03047","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"847","GO:0005829","Pastreoides21356","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"848","GO:0005829","Pastreoides13607","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"849","GO:0005829","Pastreoides30277","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"850","GO:0005829","Pastreoides01150","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"851","GO:0005829","Pastreoides15478","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"852","GO:0005829","Pastreoides02208","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"853","GO:0005829","Pastreoides51631","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"854","GO:0005829","Pastreoides06499","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"855","GO:0005829","Pastreoides32099","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"856","GO:0005829","Pastreoides36084","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"857","GO:0005829","Pastreoides19615","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"858","GO:0005829","Pastreoides30275","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"859","GO:0005829","Pastreoides13753","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"860","GO:0005829","Pastreoides45686","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"861","GO:0005829","Pastreoides17040","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"862","GO:0005829","Pastreoides04914","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"863","GO:0005829","Pastreoides03971","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"864","GO:0005829","Pastreoides26633","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"865","GO:0005829","Pastreoides03819","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"866","GO:0005829","Pastreoides03826","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"867","GO:0005829","Pastreoides17999","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"868","GO:0005829","Pastreoides36848","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"869","GO:0005829","Pastreoides33482","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"870","GO:0005829","Pastreoides38203","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"871","GO:0005829","Pastreoides17560","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"872","GO:0005829","Pastreoides21353","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"873","GO:0005829","Pastreoides08238","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"874","GO:0005829","Pastreoides25707","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"875","GO:0005829","Pastreoides00069","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"876","GO:0005829","Pastreoides50146","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"877","GO:0005829","Pastreoides14527","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"878","GO:0005829","Pastreoides11683","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"879","GO:0005829","Pastreoides42462","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"880","GO:0005829","Pastreoides24898","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"881","GO:0005829","Pastreoides03951","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"882","GO:0005829","Pastreoides28573","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"883","GO:0005829","Pastreoides39087","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"884","GO:0005829","Pastreoides23236","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"885","GO:0005829","Pastreoides27424","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"886","GO:0005829","Pastreoides56760","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"887","GO:0005829","Pastreoides05354","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"888","GO:0005829","Pastreoides27101","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"889","GO:0005829","Pastreoides04970","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"890","GO:0005829","Pastreoides08038","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"891","GO:0005829","Pastreoides18070","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
