Sample.ID	Meth_Status	Feature	counts	Coral.ID	History	LifeStage	Group	Origin	Treatment	Transplant	Col_Life
127	18-167	All_CpGs	Upstream_Flanks	208593	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
128	18-167	Sparsely_Methylated	Intergenic	145246	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
129	18-167	Sparsely_Methylated	Downstream_Flanks	10903	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
130	18-167	All_CpGs	Downstream_Flanks	160530	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
131	18-167	Unmethylated	Upstream_Flanks	185527	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
132	18-167	Unmethylated	Intergenic	1789965	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
133	18-167	Unmethylated	Downstream_Flanks	141681	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
134	18-167	Unmethylated	All_Flanks	327208	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
135	18-167	Sparsely_Methylated	CDS	22636	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
136	18-167	Sparsely_Methylated	Introns	47906	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
137	18-167	Methylated	All_Flanks	17299	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
138	18-167	All_CpGs	Intergenic	2094706	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
139	18-167	Methylated	Introns	78160	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
140	18-167	Methylated	Upstream_Flanks	9353	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
141	18-190	Unmethylated	CDS	560475	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
142	18-190	Unmethylated	All_Flanks	717945	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
143	18-190	Unmethylated	Gene	1754470	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
144	18-190	Unmethylated	Introns	1184505	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
145	18-190	All_CpGs	Downstream_Flanks	347460	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
146	18-190	Sparsely_Methylated	Gene	121096	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
147	18-190	Unmethylated	Upstream_Flanks	406407	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
148	18-190	Methylated	Introns	181236	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
149	18-190	Sparsely_Methylated	Introns	86851	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
150	18-190	Methylated	All_Flanks	37844	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
151	18-190	All_CpGs	Introns	1452592	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
152	18-190	Sparsely_Methylated	CDS	34289	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
153	18-190	Sparsely_Methylated	Downstream_Flanks	18330	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
154	18-190	Sparsely_Methylated	All_Flanks	40592	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
155	18-190	Methylated	Gene	233829	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
156	18-190	Methylated	CDS	54962	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
157	18-190	Unmethylated	Intergenic	3846533	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
158	18-190	Unmethylated	Downstream_Flanks	311538	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
159	18-190	All_CpGs	CDS	649726	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
160	18-190	Methylated	Downstream_Flanks	17592	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
161	18-190	All_CpGs	All_Flanks	796381	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
162	18-190	All_CpGs	Upstream_Flanks	448921	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
163	18-190	All_CpGs	Intergenic	4439929	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
164	18-190	Sparsely_Methylated	Upstream_Flanks	22262	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
165	18-190	Sparsely_Methylated	Intergenic	243260	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
166	18-190	Methylated	Upstream_Flanks	20252	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
167	18-190	Methylated	Intergenic	350136	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
168	18-190	All_CpGs	Gene	2109395	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
169	18-202	Sparsely_Methylated	All_Flanks	25257	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
170	18-202	Sparsely_Methylated	Introns	50602	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
171	18-202	Sparsely_Methylated	Upstream_Flanks	14097	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
172	18-202	Sparsely_Methylated	Downstream_Flanks	11160	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
173	18-202	Sparsely_Methylated	Intergenic	149566	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
174	18-202	Unmethylated	Gene	1149737	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
175	18-202	All_CpGs	All_Flanks	508388	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
176	18-202	All_CpGs	Upstream_Flanks	288855	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
177	18-202	All_CpGs	Intergenic	2802410	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
178	18-202	Unmethylated	Upstream_Flanks	261986	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
179	18-202	Unmethylated	Intergenic	2442391	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
180	18-202	All_CpGs	Gene	1361831	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
181	18-202	Sparsely_Methylated	Gene	74391	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
182	18-202	Sparsely_Methylated	CDS	23869	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
183	18-202	All_CpGs	Introns	896103	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
184	18-202	All_CpGs	Downstream_Flanks	219533	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
